month,type,rate
May-14,All,7.964587781
May-14,Food,9.698387757
May-14,Core,8.563814498
Jun-14,All,8.166670552
Jun-14,Food,9.775950501
Jun-14,Core,9.008216806
Jul-14,All,8.281183921
Jul-14,Food,9.878029873
Jul-14,Core,7.077252311
Aug-14,All,8.534330231
Aug-14,Food,9.959344473
Aug-14,Core,6.638224805
Sep-14,All,8.316720055
Sep-14,Food,9.676434634
Sep-14,Core,6.236633265
Oct-14,All,8.06026218
Oct-14,Food,9.343243963
Oct-14,Core,6.307139579
Nov-14,All,7.927025553
Nov-14,Food,9.144283748
Nov-14,Core,6.281321856
Dec-14,All,7.978297049
Dec-14,Food,9.152279019
Dec-14,Core,6.250573093
Jan-15,All,8.157056235
Jan-15,Food,9.214663638
Jan-15,Core,7.106432584
Feb-15,All,8.358892188
Feb-15,Food,9.359075798
Feb-15,Core,7.08429475
Mar-15,All,8.493597303
Mar-15,Food,9.376377966
Mar-15,Core,7.465536944
Apr-15,All,8.655168684
Apr-15,Food,9.489903602
Apr-15,Core,7.677200588
May-15,All,9.003130312
May-15,Food,9.781953382
May-15,Core,8.272557987
Jun-15,All,9.167719217
Jun-15,Food,10.04112587
Jun-15,Core,8.358851835
Jul-15,All,9.217923612
Jul-15,Food,10.04901856
Jul-15,Core,8.74028733
Aug-15,All,9.335651157
Aug-15,Food,10.13131881
Aug-15,Core,8.844391008
Sep-15,All,9.394053325
Sep-15,Food,10.17391733
Sep-15,Core,8.774589752
Oct-15,All,9.295860227
Oct-15,Food,10.12872625
Oct-15,Core,8.569826166
Nov-15,All,9.368162097
Nov-15,Food,10.32091776
Nov-15,Core,8.48528168
Dec-15,All,9.553905112
Dec-15,Food,10.58810822
Dec-15,Core,8.438141663
Jan-16,All,9.616704485
Jan-16,Food,10.6419552
Jan-16,Core,8.52627543
Feb-16,All,11.37904091
Feb-16,Food,11.34767214
Feb-16,Core,9.482856838
Mar-16,All,12.77470978
Mar-16,Food,12.74461133
Mar-16,Core,10.31338912
Apr-16,All,13.72104445
Apr-16,Food,13.19416649
Apr-16,Core,10.79006476
May-16,All,15.57726511
May-16,Food,14.86099888
May-16,Core,12.30061647
Jun-16,All,16.48016251
Jun-16,Food,15.30204204
Jun-16,Core,13.32018055
Jul-16,All,17.12666284
Jul-16,Food,15.79918773
Jul-16,Core,13.63101689
Aug-16,All,17.60932017
Aug-16,Food,16.42739097
Aug-16,Core,13.87816353
Sep-16,All,17.85203855
Sep-16,Food,16.62212234
Sep-16,Core,14.11611253
Oct-16,All,18.32965914
Oct-16,Food,17.08976258
Oct-16,Core,14.57545722
Nov-16,All,18.47616472
Nov-16,Food,17.19054072
Nov-16,Core,14.86707462
Dec-16,All,18.54696378
Dec-16,Food,17.38818386
Dec-16,Core,14.70160392
Jan-17,All,18.71884077
Jan-17,Food,17.81824026
Jan-17,Core,14.5372126
Feb-17,All,17.78040223
Feb-17,Food,18.52814835
Feb-17,Core,13.9721392
Mar-17,All,17.25554443
Mar-17,Food,18.43609679
Mar-17,Core,13.58295668
Apr-17,All,17.24441882
Apr-17,Food,19.30307094
Apr-17,Core,13.73685117
May-17,All,16.2513839
May-17,Food,19.26616711
May-17,Core,12.19896799
Jun-17,All,16.09839758
Jun-17,Food,19.91472993
Jun-17,Core,12.0192624
Jul-17,All,16.05290961
Jul-17,Food,20.28365738
Jul-17,Core,12.34699066
Aug-17,All,16.0115016
Aug-17,Food,20.2508873
Aug-17,Core,12.70304814
Sep-17,All,15.9790003
Sep-17,Food,20.32071801
Sep-17,Core,12.72496982
Oct-17,All,15.90523616
Oct-17,Food,20.3061686
Oct-17,Core,12.71725363
Nov-17,All,15.9013876
Nov-17,Food,20.30813099
Nov-17,Core,12.74702121
Dec-17,All,15.37161259
Dec-17,Food,19.41519189
Dec-17,Core,12.59546266
Jan-18,All,15.12674236
Jan-18,Food,18.91908428
Jan-18,Core,12.68038276
Feb-18,All,14.32961336
Feb-18,Food,17.58758649
Feb-18,Core,12.3444304
Mar-18,All,13.33717628
Mar-18,Food,16.07960145
Mar-18,Core,11.8499159
Apr-18,All,12.48233943
Apr-18,Food,14.79912608
Apr-18,Core,11.64331681
