month,egg_crate,egg,beans_brown,beans_white,bone_beef,boneless_beef,bread_sliced,bread_unsliced,rice_ofada,catfish_fresh,catfish_dried,catfish_smoked,chicken_feet,chicken_wings,dried_fish_sardine,tin_milk,tin_milk_peak,frozen_chicken,garri_white,garri_yellow,groundnut_oil,iced_sardine,irish_potato,mackerel_frozen,maize_white,maize_yellow,mudfish_aro,mudfish_dried,onion,palm_oil,plantain_ripe,plantain_unripe,rice_agric,rice_local,rice_medium_grained,rice_imported,sweet_potato,tilapia_fish,titus_frozen,Tomato,vegetable_oil,wheat_flour,yam_tuber
17-Jan,512.99,47.42,353.60,305.53,1001.24,1249.48,302.87,270.25,377.41,899.58,2204.12,817.09,765.28,919.09,959.11,136.29,157.75,1419.75,219.56,255.83,477.86,1879.96,300.95,759.01,167.11,168.77,994.37,1812.03,258.92,420.62,234.25,212.49,324.01,286.19,312.08,402.01,129.43,792.18,884.82,247.55,495.29,626.53,210.58
17-Feb,520.16,42.90,337.11,309.85,995.65,1270.67,299.75,264.86,392.04,885.13,2150.18,825.35,785.42,963.46,935.51,140.53,166.14,1428.95,260.94,250.45,482.94,1915.68,307.29,764.62,172.86,174.72,998.71,1955.10,241.44,434.81,234.28,214.41,355.41,306.29,352.69,410.58,127.23,795.27,942.23,236.62,507.36,621.39,215.55
17-Mar,507.69,43.93,353.28,318.45,1010.29,1281.71,297.51,262.33,421.54,884.15,2189.55,834.26,907.51,980.88,958.67,143.56,177.05,1555.51,273.67,302.05,494.10,1902.15,311.81,774.89,174.03,178.79,1079.16,2084.81,246.95,442.04,236.65,215.80,360.89,308.87,377.99,418.71,132.94,798.07,964.63,268.64,513.42,623.10,255.86
17-Apr,518.66,46.22,357.19,324.04,1035.45,1323.10,296.63,277.69,425.53,886.65,2189.10,837.09,768.11,886.58,972.73,151.47,197.15,1606.63,288.45,320.92,494.24,1927.97,318.88,778.15,182.94,185.61,1008.95,2319.91,205.60,452.42,240.71,221.79,324.76,299.30,332.81,388.46,132.43,800.77,935.00,285.72,525.72,627.33,250.30
17-May,522.71,45.73,365.86,332.28,1123.65,1378.91,307.70,282.26,460.10,900.73,2213.66,845.91,819.59,925.55,991.64,157.95,198.42,1605.97,292.97,326.83,500.19,1919.64,315.86,785.37,188.90,190.59,1047.28,2388.05,203.56,458.24,241.48,224.65,347.73,323.82,350.36,410.55,130.28,805.21,969.64,339.72,524.77,646.18,279.15
17-Jun,514.66,45.28,374.26,339.64,1129.02,1393.42,320.58,286.78,472.29,916.55,2255.24,848.41,832.79,952.18,989.49,162.80,194.67,1645.29,315.61,354.55,503.28,1916.19,319.30,794.64,190.33,191.36,1071.13,2416.28,214.79,471.28,249.71,228.46,352.09,325.51,348.23,415.84,135.77,817.62,1012.18,375.00,546.29,632.09,292.06
17-Jul,498.50,44.32,382.35,343.96,1128.94,1376.91,314.47,285.55,473.40,910.57,2215.25,853.18,832.66,958.05,968.76,162.72,195.94,1623.84,317.10,350.46,505.12,1915.25,311.40,795.82,191.33,193.02,1080.33,2395.79,213.14,478.75,251.27,223.47,354.08,323.25,344.40,409.20,137.96,823.34,1014.54,394.13,552.91,630.47,294.12
17-Aug,485.19,42.92,370.25,335.71,1151.38,1276.85,304.20,258.70,415.34,921.17,2176.82,852.93,834.74,946.93,972.65,158.85,190.53,1529.25,310.15,345.82,508.33,1904.67,310.48,797.77,192.44,193.43,998.57,2161.70,236.66,492.90,254.02,226.26,349.64,320.19,313.45,384.35,138.56,820.29,998.01,431.30,559.01,647.29,343.39
17-Sep,487.51,45.72,404.84,358.13,1078.49,1324.93,310.62,286.33,431.59,894.52,2159.00,839.49,817.19,979.32,947.60,174.36,206.00,1570.26,301.99,335.94,477.97,1878.46,307.46,785.57,168.12,168.19,1069.92,2204.04,238.29,439.88,231.70,215.96,351.09,316.40,339.47,398.01,139.00,795.64,973.99,322.39,505.51,627.00,259.51
17-Oct,472.85,42.06,382.58,342.05,1081.30,1312.73,305.88,280.34,416.18,906.94,2083.74,845.10,800.10,960.71,967.00,170.60,198.67,1580.13,268.10,305.02,504.03,1914.45,291.12,828.93,191.15,191.10,1074.73,2190.22,217.58,473.61,247.38,229.88,325.93,292.90,320.64,368.90,115.73,822.39,1050.38,291.53,547.11,641.41,223.63
17-Nov,463.11,40.82,369.78,337.09,1065.59,1286.86,298.96,274.32,417.24,902.02,2214.33,847.66,790.91,953.60,968.77,169.44,196.02,1571.48,251.91,289.15,503.79,1903.71,290.55,844.59,185.13,189.88,1081.61,2144.20,228.46,475.51,244.89,233.27,315.14,278.89,309.87,360.83,111.36,813.77,1125.88,286.39,540.20,649.19,212.27
17-Dec,494.43,41.32,361.97,314.93,1067.73,1236.44,290.05,268.23,319.86,919.82,2146.61,1007.40,1155.99,950.56,1077.82,159.72,191.44,1708.64,199.68,219.75,660.36,1545.26,314.23,1015.57,154.37,161.90,1060.02,1621.42,311.09,551.77,240.84,253.05,317.46,278.94,304.90,371.21,120.19,1158.84,1109.21,276.18,565.04,639.24,211.61
18-Jan,437.13,38.85,385.53,344.52,1045.55,1298.70,313.43,282.12,413.19,1014.62,1852.92,1540.80,850.00,950.77,1455.50,172.24,196.71,1547.50,229.26,271.35,528.59,861.07,232.87,915.27,190.51,180.00,1099.77,2134.65,248.74,480.92,273.71,248.72,322.81,274.66,308.53,360.76,113.36,864.05,894.70,271.99,540.25,655.15,226.51
18-Feb,519.07,41.27,387.48,348.55,1017.28,1274.71,314.17,284.36,405.69,1037.33,1857.25,1896.94,778.64,954.99,1405.75,166.55,191.14,1548.87,210.21,250.06,571.10,885.14,250.93,875.31,185.20,199.84,1098.63,2066.03,252.03,510.10,257.63,232.19,322.81,276.28,314.77,365.21,126.44,885.65,901.49,267.10,549.02,646.00,230.85
18-Mar,527.32,41.21,395.34,357.04,1024.64,1262.51,305.88,278.61,399.47,1008.28,1793.58,1524.75,772.99,935.83,1410.11,158.51,187.61,1544.95,209.12,243.99,585.15,899.67,261.75,915.92,231.56,193.82,1069.90,1945.30,235.31,492.13,259.83,242.48,326.56,283.57,317.17,363.33,130.30,890.10,905.76,267.09,533.45,657.64,254.51
18-Apr,552.09,42.25,395.19,355.32,980.26,1257.73,306.54,278.61,400.94,993.54,1753.53,1514.53,758.88,921.49,1371.80,160.22,188.14,1537.85,208.21,246.50,584.47,907.89,282.06,896.40,173.45,191.05,1039.02,1912.69,234.37,486.84,262.31,235.70,322.54,281.51,323.56,369.35,137.40,889.52,898.62,289.49,548.01,649.92,279.61
18-May,548.66,41.77,407.73,367.23,1011.11,1275.77,305.98,278.11,405.03,1013.11,1779.71,1520.93,782.55,925.54,1399.97,165.26,192.93,1536.52,216.01,256.51,601.51,941.45,300.58,927.22,180.50,195.72,1062.74,1928.19,234.04,494.91,273.48,247.09,327.84,286.16,325.37,374.63,150.55,924.12,921.04,307.14,553.23,659.51,291.33
18-Jun,539.75,41.38,418.78,369.43,1034.57,1271.54,308.00,275.60,404.43,1062.43,1770.53,1527.82,784.78,960.56,1378.57,166.23,189.93,1537.25,216.72,259.83,612.45,923.47,297.09,908.91,183.69,197.27,1070.62,1941.91,240.01,499.98,276.60,248.47,331.14,280.76,323.12,373.47,148.68,939.36,950.28,317.67,552.08,660.13,285.84
18-Jul,471.75,41.22,411.02,361.33,1028.12,1262.73,305.25,272.71,403.56,1064.74,1792.12,1504.39,930.50,963.05,1395.41,165.74,187.84,1541.37,200.67,248.72,603.58,940.53,296.59,922.91,179.39,190.44,1065.56,1907.21,246.91,496.43,270.77,248.58,325.13,276.29,319.35,370.79,163.30,935.16,924.77,336.29,547.90,657.58,280.83
18-Aug,474.13,41.79,410.16,361.68,1061.78,1281.02,307.97,278.27,397.29,1088.95,1807.11,1512.40,803.03,992.48,1382.94,162.99,184.25,1533.22,198.82,246.75,603.41,937.22,309.50,926.18,180.09,191.06,1104.81,1897.08,252.09,501.13,275.78,247.06,327.02,280.29,322.55,375.02,167.08,947.79,946.55,336.65,540.44,661.06,292.97
18-Sep,472.73,41.17,416.07,362.71,1027.66,1281.64,303.84,278.57,384.49,1089.25,1766.55,1499.60,808.05,1012.50,1374.26,166.28,189.29,1534.18,195.86,253.70,608.35,931.59,291.95,944.50,179.90,189.81,1072.12,1908.02,251.30,501.02,272.60,244.26,328.42,277.78,319.46,371.32,167.28,979.22,941.50,328.26,546.85,651.87,280.28
18-Oct,482.90,41.73,411.05,354.22,1003.35,1260.59,299.19,272.91,370.21,1080.38,2362.28,1482.30,775.66,982.51,1365.68,163.34,187.25,1558.22,188.39,236.26,592.51,916.80,300.14,920.99,171.14,178.38,1052.07,1874.37,232.81,495.07,245.62,226.56,323.27,277.87,314.89,373.04,154.73,923.12,923.92,306.59,536.08,656.80,252.21
18-Nov,477.76,42.40,396.73,346.41,998.67,1251.45,305.48,277.87,385.61,1112.09,1814.97,1490.84,985.33,981.48,1331.62,162.42,187.56,1551.25,183.59,222.42,603.90,920.98,330.10,937.77,165.03,168.92,1067.10,1894.29,287.66,496.18,254.08,225.54,329.14,278.46,318.94,376.63,147.70,934.07,1105.17,294.36,536.53,659.65,239.15
18-Dec,466.97,42.58,386.78,344.72,997.73,1270.81,296.91,271.14,381.64,1060.83,1808.55,1519.80,737.76,943.99,1342.97,163.28,189.98,1625.05,166.64,195.99,585.52,906.39,298.59,934.19,161.49,160.42,1032.24,1861.66,259.38,474.53,227.28,215.73,321.58,280.79,318.00,370.57,140.70,887.54,926.42,271.51,507.83,662.89,212.65
